,Unnamed: 0,directors,actors,writers,producers,year,genres,certificates,duration,Budget,Gross US,Gross Worldwide,titles,Profits,profit-per-length,profit-per-budget,len-genres,macrogenres,MAD
74,36,"['Anna Boden', 'Ryan Fleck']","['Brie Larson', 'Samuel L. Jackson', 'Ben Mendelsohn', 'Jude Law', 'Annette Bening', 'Djimon Hounsou', 'Lee Pace', 'Lashana Lynch', 'Gemma Chan', 'Clark Gregg']","['Anna Boden', 'Ryan Fleck', 'Geneva Robertson-Dworet', 'Nicole Perlman', 'Meg LeFauve']",['Kevin Feige'],2019,Action  Adventure," PG-13
",123.0,175000000.0,426829839.0,1128274794.0,Captain Marvel,953274794.0,7750201.577235772,5.447284537142856,2,Action,2.029455288441313
76,38,['J.J. Abrams'],"['Carrie Fisher', 'Mark Hamill', 'Adam Driver', 'Daisy Ridley', 'John Boyega', 'Oscar Isaac', 'Anthony Daniels', 'Naomi Ackie', 'Domhnall Gleeson', 'Richard E. Grant']","['Chris Terrio', 'J.J. Abrams', 'Derek Connolly', 'Colin Trevorrow', 'George Lucas']","['J.J. Abrams', 'Kathleen Kennedy', 'Michelle Rejwan']",2019,Action  Adventure," PG-13
",142.0,200000000.0,515202542.0,1074144248.0,Star Wars: Episode IX - The Rise of Skywalker,874144248.0,6155945.408450704,4.37072124,2,Action,1.5515370029321949
77,39,['Josh Cooley'],"['Tom Hanks', 'Tim Allen', 'Annie Potts', 'Tony Hale', 'Keegan-Michael Key', 'Madeleine McGraw', 'Christina Hendricks', 'Jordan Peele', 'Keanu Reeves', 'Ally Maki']","['John Lasseter', 'Andrew Stanton', 'Josh Cooley', 'Valerie LaPointe']","['Mark Nielsen', 'Jonas Rivera', 'Galyn Susman']",2019,Animation  Adventure," G
",100.0,200000000.0,434038008.0,1073394593.0,Toy Story 4,873394593.0,8733945.93,4.366972965,2,Animation,1.5498730328095178
78,41,['Jake Kasdan'],"['Dwayne Johnson', 'Kevin Hart', 'Jack Black', 'Karen Gillan', 'Awkwafina', 'Nick Jonas', 'Alex Wolff', 'Morgan Turner', 'Madison Iseman', ""Ser'Darius Blain""]","['Jake Kasdan', 'Jeff Pinkner', 'Scott Rosenberg', 'Chris Van Allsburg']","['Dany Garcia', 'Hiram Garcia', 'Dwayne Johnson', 'Jake Kasdan']",2019,Action  Adventure," PG-13
",123.0,125000000.0,316831246.0,796575993.0,Jumanji: The Next Level,671575993.0,5459967.422764228,5.372607943999999,2,Action,1.9963041402856831
79,42,['David Leitch'],"['Dwayne Johnson', 'Jason Statham', 'Idris Elba', 'Vanessa Kirby', 'Helen Mirren', 'Eiza González', 'Eddie Marsan', 'Eliana Sua', 'Cliff Curtis', 'Lori Pelenise Tuisano']","['Chris Morgan', 'Drew Pearce', 'Gary Scott Thompson']","['Hiram Garcia', 'Dwayne Johnson', 'Chris Morgan', 'Jason Statham']",2019,Action  Adventure," PG-13
",137.0,200000000.0,173956935.0,759056935.0,Fast & Furious Presents: Hobbs & Shaw,559056935.0,4080707.554744525,2.795284675,2,Action,0.8521541203172928
81,49,['Rob Letterman'],"['Ryan Reynolds', 'Justice Smith', 'Kathryn Newton', 'Bill Nighy', 'Ken Watanabe', 'Chris Geere', 'Suki Waterhouse', 'Josette Simon', 'Alejandro De Mesa', 'Rita Ora']","['Dan Hernandez', 'Benji Samit', 'Rob Letterman', 'Derek Connolly']","['Cale Boyter', 'Hidenaga Katakami', 'Don McGowan', 'Mary Parent']",2019,Action  Adventure," PG
",104.0,150000000.0,144105346.0,433005346.0,Pokémon Detective Pikachu,283005346.0,2721205.25,1.8867023066666664,2,Action,0.4488075369161123
82,50,['Chris Renaud'],"['Patton Oswalt', 'Kevin Hart', 'Harrison Ford', 'Eric Stonestreet', 'Jenny Slate', 'Tiffany Haddish', 'Lake Bell', 'Dana Carvey', 'Bobby Moynihan', 'Hannibal Buress']",['Brian Lynch'],"['Janet Healy', 'Christopher Meledandri']",2019,Animation  Adventure," PG
",86.0,80000000.0,158874395.0,430051293.0,The Secret Life of Pets 2,350051293.0,4070363.8720930233,4.3756411625,2,Animation,1.5537211020300166
83,52,['Robert Rodriguez'],"['Rosa Salazar', 'Christoph Waltz', 'Jennifer Connelly', 'Mahershala Ali', 'Ed Skrein', 'Jackie Earle Haley', 'Keean Johnson', 'Jorge Lendeborg Jr.', 'Lana Condor', 'Idara Victor']","['James Cameron', 'Laeta Kalogridis', 'Yukito Kishiro']","['James Cameron', 'Jon Landau']",2019,Action  Adventure," PG-13
",122.0,170000000.0,85710210.0,404852543.0,Alita: Battle Angel,234852543.0,1925020.8442622954,1.3814855470588234,2,Action,0.22452687622198064
84,53,['Michael Dougherty'],"['Kyle Chandler', 'Vera Farmiga', 'Millie Bobby Brown', 'Ken Watanabe', 'Ziyi Zhang', 'Bradley Whitford', 'Sally Hawkins', 'Charles Dance', 'Thomas Middleditch', 'Aisha Hinds']","['Michael Dougherty', 'Zach Shields', 'Max Borenstein']","['Alex Garcia', 'Jon Jashni', 'Mary Parent', 'Brian Rogers', 'Thomas Tull']",2019,Action  Adventure," PG-13
",132.0,170000000.0,110500138.0,386600138.0,Godzilla: King of the Monsters,216600138.0,1640910.1363636362,1.2741184588235297,2,Action,0.17686345051751995
85,54,['Quentin Tarantino'],"['Leonardo DiCaprio', 'Brad Pitt', 'Margot Robbie', 'Emile Hirsch', 'Margaret Qualley', 'Timothy Olyphant', 'Julia Butters', 'Austin Butler', 'Dakota Fanning', 'Bruce Dern']",['Quentin Tarantino'],"['David Heyman', 'Shannon McIntosh', 'Quentin Tarantino']",2019,Comedy  Drama," R
",161.0,90000000.0,142502728.0,374343626.0,Once Upon a Time... in Hollywood,284343626.0,1766109.4782608696,3.1593736222222213,2,Comedy,1.0137839714287542
